in_users?,in_wpm?,id_user,font,id_passage,font fam,score,pass fam,pass int
1,2,393,times,27,3,1,1,2
1,1,393,times,28,3,1,1,3
1,1,395,times,19,3,1,1,1
1,2,395,times,26,3,1,1,3
1,2,396,times,21,3,1,1,2
1,2,396,times,28,3,1,1,2
0,2,398,times,20,3,0,1,1
0,0,398,times,21,3,1,1,2
0,0,398,times,23,3,0.5,1,2
0,0,398,times,26,3,1,1,3
1,0,399,times,19,3,1,1,2
1,2,399,times,25,3,1,1,3
1,2,400,times,19,3,1,2,5
1,2,400,times,24,3,1,1,5
1,2,402,times,22,1,1,3,4
1,2,402,times,23,1,1,2,4
1,2,402,times,25,1,1,1,3
1,2,402,times,27,1,1,1,3
1,2,403,times,21,3,1,1,4
1,2,403,times,22,3,1,2,5
1,2,405,times,24,2,0.5,1,1
1,2,406,times,20,2,1,3,2
1,1,406,times,22,2,1,3,2
1,2,406,times,23,2,1,1,2
1,2,406,times,26,2,1,1,1
1,2,407,times,24,1,1,1,2
1,2,407,times,25,1,1,1,1
1,2,408,times,20,3,0,2,1
1,2,408,times,28,3,0.5,1,2
1,2,410,times,22,3,1,2,2
1,2,410,times,27,3,1,1,3
1,1,411,times,20,3,1,2,2
1,2,411,times,26,3,0.5,1,4
0,2,412,times,24,1,1,3,4
0,0,412,times,26,1,1,2,5
0,0,413,times,22,2,1,3,3
0,0,413,times,27,2,1,1,2
1,0,414,times,23,3,1,1,2
1,2,414,times,28,3,1,1,2
0,2,416,times,23,3,1,2,3
0,0,416,times,27,3,1,1,4
0,0,417,times,19,3,1,4,4
0,0,417,times,22,3,1,2,4
1,0,418,times,20,3,1,1,3
1,2,418,times,24,3,0.5,1,2
1,2,420,times,20,3,1,3,3
1,2,420,times,25,3,1,1,2
1,2,422,times,21,2,1,1,5
1,2,422,times,26,2,1,1,3
1,2,423,times,25,3,1,1,4
1,2,423,times,26,3,0.5,1,3
1,2,424,times,20,3,1,3,4
1,2,424,times,27,3,1,1,1
0,2,425,times,19,2,1,4,5
0,0,425,times,20,2,1,4,5
1,0,426,times,21,2,1,3,5
1,2,426,times,24,2,1,3,2
1,2,427,times,19,2,1,3,3
1,2,427,times,23,2,0.5,1,3
1,2,431,times,24,2,1,1,3
1,2,431,times,25,2,1,1,2
1,2,433,times,19,2,1,1,2
1,2,433,times,23,2,0.5,2,3
0,2,434,times,20,3,0.5,3,3
0,0,434,times,25,3,1,2,2
1,0,436,times,21,2,1,4,5
1,1,436,times,23,2,1,3,4
1,2,439,times,26,2,1,1,3
1,2,440,times,22,2,1,1,5
1,2,440,times,28,2,1,1,4
0,1,441,times,21,3,1,2,4
0,0,441,times,28,3,1,1,4
0,0,442,times,21,3,1,4,4
0,0,442,times,27,3,0.5,2,4
1,0,443,times,24,2,1,2,3
1,2,443,times,25,2,1,2,3
1,2,444,times,22,2,1,3,4
1,2,444,times,26,2,1,1,4
1,2,447,times,25,3,1,1,3
1,1,447,times,26,3,0.5,1,3
0,2,448,times,25,3,1,1,3
0,0,448,times,26,3,1,2,3
1,0,449,times,19,3,1,3,3
1,2,449,times,22,3,1,3,3
1,2,449,times,27,3,1,2,3
1,2,450,times,24,2,1,1,2
1,2,450,times,26,2,1,3,4
0,2,453,times,20,3,1,2,3
